,eng_0,eng_1,eng_2,eng_3,eng_4,eng_5,eng_6,eng_7,eng_8,eng_9,eng_10,eng_11,eng_12,eng_13,eng_14,eng_15,eng_16,eng_17,eng_18,eng_19,eng_20,eng_21,eng_22,eng_23,eng_24,eng_25,ita_0,ita_1,ita_2,ita_3,ita_4,ita_5,ita_6,ita_7,ita_8,ita_9,ita_10,ita_11,ita_12,ita_13,ita_14,ita_15,ita_16,ita_17,ita_18,ita_19,ita_20,ita_21,ita_22,ita_23,ita_24,ita_25,ita_26,eng_26,ita_27,eng_27,done
2144585557,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,False
2144627614,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,,False
2144719944,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,False,,,,,False
2145431989,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,,,,,False
2146007936,True,True,True,True,True,True,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,,,,,False
222556755,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
224710733,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
232282882,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,,False
233601088,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,False,True,True,True,False,True,False,True,True,True,False,True,False,False,False,True,False,False,False,False,True,True,,,,,False
238016822,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,,False
